event_id,position_id,position_group_id,event_type,event_date,sector,location,ssco,level,category,separation_nature,separation_reason,capacity_delta_fte,demand_delta_fte,skill_gap_fte
ev062,P-GOV-101,PG-GOV-001,resignation,2026-06-06,GOV,01,242309,P1,C,voluntary,career_growth,-1,0,
ev063,P-GOV-102,PG-GOV-001,hire,2026-06-18,GOV,01,242309,P1,C,,,1,0,
ev064,P-GOV-103,PG-GOV-001,transfer_out,2026-07-12,GOV,01,242309,P1,C,internal_mobility,internal_transfer,-1,0,
ev065,P-GOV-104,PG-GOV-001,hire,2026-07-25,GOV,01,242309,P1,C,,,1,0,
ev066,P-GOV-105,PG-GOV-001,termination,2026-08-10,GOV,01,242309,P1,C,involuntary,probation,-1,0,
ev067,P-GOV-106,PG-GOV-001,hire,2026-08-15,GOV,01,242309,P1,C,,,1,0,
ev068,P-GOV-107,PG-GOV-001,resignation,2026-09-10,GOV,01,242309,P1,C,voluntary,compensation,-1,0,
ev069,P-GOV-108,PG-GOV-001,demand_increase,2026-09-16,GOV,01,242309,P1,C,,,0,1,
ev070,P-GOV-201,PG-GOV-002,hire,2026-06-04,GOV,02,242303,P1,R,,,1,0,
ev071,P-GOV-202,PG-GOV-002,transfer_in,2026-07-29,GOV,02,242303,P1,R,,,1,0,
ev072,P-GOV-203,PG-GOV-002,hire,2026-09-03,GOV,02,242303,P1,R,,,1,0,
ev075,P-GOV-204,PG-GOV-002,internal_promotion,2026-08-01,GOV,02,242303,P1,R,,,-1,0,
ev076,P-GOV-205,PG-GOV-002,transfer_in,2026-08-15,GOV,02,242303,P1,R,,,1,0,
