event_id,position_id,position_group_id,event_type,event_date,sector,location,ssco,level,category,separation_nature,separation_reason,capacity_delta_fte,demand_delta_fte,skill_gap_fte
ev025,P-HLT-101,PG-HLT-001,resignation,2026-06-03,HLT,01,222113,G2,H,voluntary,compensation,-1,0,
ev026,P-HLT-102,PG-HLT-001,termination,2026-06-25,HLT,01,222113,G2,H,involuntary,performance,-1,0,
ev027,P-HLT-103,PG-HLT-001,resignation,2026-07-12,HLT,01,222113,G2,H,voluntary,career_growth,-1,0,
ev028,P-HLT-104,PG-HLT-001,retirement,2026-08-03,HLT,01,222113,G2,H,statutory,retirement,-1,0,
ev029,P-HLT-105,PG-HLT-001,hire,2026-08-16,HLT,01,222113,G2,H,,,1,0,
ev030,P-HLT-106,PG-HLT-001,resignation,2026-08-20,HLT,01,222113,G2,H,voluntary,compensation,-1,0,
ev031,P-HLT-107,PG-HLT-001,resignation,2026-08-26,HLT,01,222113,G2,H,voluntary,workload,-1,0,
ev032,P-HLT-108,PG-HLT-001,transfer_out,2026-09-04,HLT,01,222113,G2,H,internal_mobility,internal_transfer,-1,0,
ev033,P-HLT-109,PG-HLT-001,resignation,2026-09-08,HLT,01,222113,G2,H,voluntary,career_growth,-1,0,
ev034,P-HLT-110,PG-HLT-001,retirement,2026-09-12,HLT,01,222113,G2,H,statutory,retirement,-1,0,
ev035,P-HLT-111,PG-HLT-001,resignation,2026-09-15,HLT,01,222113,G2,H,voluntary,workload,-1,0,
ev036,P-HLT-201,PG-HLT-002,resignation,2026-06-05,HLT,02,221209,G3,H,voluntary,career_growth,-1,0,
ev037,P-HLT-202,PG-HLT-002,hire,2026-06-18,HLT,02,221209,G3,H,,,1,0,
ev038,P-HLT-203,PG-HLT-002,termination,2026-07-05,HLT,02,221209,G3,H,involuntary,probation,-1,0,
ev039,P-HLT-204,PG-HLT-002,hire,2026-07-17,HLT,02,221209,G3,H,,,1,0,
ev040,P-HLT-205,PG-HLT-002,transfer_out,2026-08-05,HLT,02,221209,G3,H,internal_mobility,internal_transfer,-1,0,
ev041,P-HLT-206,PG-HLT-002,hire,2026-08-14,HLT,02,221209,G3,H,,,1,0,
ev042,P-HLT-207,PG-HLT-002,resignation,2026-09-06,HLT,02,221209,G3,H,voluntary,compensation,-1,0,
ev043,P-HLT-301,PG-HLT-003,hire,2026-06-01,HLT,03,226404,G1,C,,,1,0,
ev044,P-HLT-302,PG-HLT-003,transfer_in,2026-07-20,HLT,03,226404,G1,C,,,1,0,
ev045,P-HLT-303,PG-HLT-003,hire,2026-09-01,HLT,03,226404,G1,C,,,1,0,
