event_id,position_id,position_group_id,event_type,event_date,sector,location,ssco,level,category,separation_nature,separation_reason,capacity_delta_fte,demand_delta_fte,skill_gap_fte
ev046,P-MUN-101,PG-MUN-001,transfer_out,2026-06-15,MUN,01,325706,J2,F,internal_mobility,internal_transfer,-1,0,
ev047,P-MUN-102,PG-MUN-001,hire,2026-06-18,MUN,01,325706,J2,F,,,1,0,
ev048,P-MUN-103,PG-MUN-001,resignation,2026-07-08,MUN,01,325706,J2,F,voluntary,career_growth,-1,0,
ev049,P-MUN-104,PG-MUN-001,resignation,2026-08-11,MUN,01,325706,J2,F,voluntary,compensation,-1,0,
ev050,P-MUN-105,PG-MUN-001,resignation,2026-08-23,MUN,01,325706,J2,F,voluntary,workload,-1,0,
ev051,P-MUN-106,PG-MUN-001,resignation,2026-09-03,MUN,01,325706,J2,F,voluntary,career_growth,-1,0,
ev052,P-MUN-107,PG-MUN-001,retirement,2026-09-06,MUN,01,325706,J2,F,statutory,retirement,-1,0,
ev053,P-MUN-108,PG-MUN-001,transfer_out,2026-09-13,MUN,01,325706,J2,F,internal_mobility,internal_transfer,-1,0,
ev054,P-MUN-201,PG-MUN-002,resignation,2026-06-10,MUN,02,216403,J3,O,voluntary,career_growth,-1,0,
ev055,P-MUN-202,PG-MUN-002,hire,2026-06-28,MUN,02,216403,J3,O,,,1,0,
ev056,P-MUN-203,PG-MUN-002,transfer_out,2026-07-25,MUN,02,216403,J3,O,internal_mobility,internal_transfer,-1,0,
ev057,P-MUN-204,PG-MUN-002,hire,2026-08-12,MUN,02,216403,J3,O,,,1,0,
ev058,P-MUN-205,PG-MUN-002,hire,2026-09-01,MUN,02,216403,J3,O,,,1,0,
ev059,P-MUN-301,PG-MUN-003,hire,2026-06-08,MUN,03,226301,J1,F,,,1,0,
ev060,P-MUN-302,PG-MUN-003,transfer_in,2026-07-24,MUN,03,226301,J1,F,,,1,0,
ev061,P-MUN-303,PG-MUN-003,hire,2026-09-02,MUN,03,226301,J1,F,,,1,0,
ev077,P-MUN-206,PG-MUN-002,role_transformation,2026-09-11,MUN,02,216403,J3,O,,,0,0,2
