event_id,position_id,position_group_id,event_type,event_date,sector,location,ssco,level,category,separation_nature,separation_reason,capacity_delta_fte,demand_delta_fte
ev001,P-EDU-101,PG-EDU-001,resignation,2026-05-29,EDU,07,233014,L3,A,voluntary,compensation,-1,0
ev002,P-EDU-102,PG-EDU-001,hire,2026-06-15,EDU,07,233014,L3,A,,,1,0
ev003,P-EDU-103,PG-EDU-001,transfer_out,2026-07-03,EDU,07,233014,L3,A,internal_mobility,internal_transfer,-1,0
ev004,P-EDU-104,PG-EDU-001,hire,2026-07-28,EDU,07,233014,L3,A,,,1,0
ev005,P-EDU-105,PG-EDU-001,resignation,2026-08-10,EDU,07,233014,L3,A,voluntary,career_growth,-1,0
ev006,P-EDU-106,PG-EDU-001,resignation,2026-08-24,EDU,07,233014,L3,A,voluntary,compensation,-1,0
ev007,P-EDU-107,PG-EDU-001,transfer_out,2026-09-02,EDU,07,233014,L3,A,internal_mobility,internal_transfer,-1,0
ev008,P-EDU-108,PG-EDU-001,resignation,2026-09-07,EDU,07,233014,L3,A,voluntary,manager_or_work_environment,-1,0
ev009,P-EDU-109,PG-EDU-001,retirement,2026-09-14,EDU,07,233014,L3,A,statutory,retirement,-1,0
ev010,P-EDU-201,PG-EDU-002,resignation,2026-05-30,EDU,02,233033,L2,A,voluntary,career_growth,-1,0
ev011,P-EDU-202,PG-EDU-002,hire,2026-06-12,EDU,02,233033,L2,A,,,1,0
ev012,P-EDU-203,PG-EDU-002,resignation,2026-07-10,EDU,02,233033,L2,A,voluntary,relocation,-1,0
ev013,P-EDU-204,PG-EDU-002,hire,2026-07-22,EDU,02,233033,L2,A,,,1,0
ev014,P-EDU-205,PG-EDU-002,transfer_out,2026-08-08,EDU,02,233033,L2,A,internal_mobility,internal_transfer,-1,0
ev015,P-EDU-206,PG-EDU-002,hire,2026-08-16,EDU,02,233033,L2,A,,,1,0
ev016,P-EDU-207,PG-EDU-002,resignation,2026-09-09,EDU,02,233033,L2,A,voluntary,career_growth,-1,0
ev017,P-EDU-208,PG-EDU-002,hire,2026-09-12,EDU,02,233033,L2,A,,,1,0
ev018,P-EDU-301,PG-EDU-003,hire,2026-05-28,EDU,01,233010,L3,B,,,1,0
ev019,P-EDU-302,PG-EDU-003,transfer_in,2026-07-02,EDU,01,233010,L3,B,,,1,0
ev020,P-EDU-303,PG-EDU-003,demand_decrease,2026-08-04,EDU,01,233010,L3,B,,,0,-1
ev021,P-EDU-304,PG-EDU-003,hire,2026-09-05,EDU,01,233010,L3,B,,,1,0
